# Clase8 - sistemas_multiagente (con timestamps)

[00:00:00 -> 00:00:24]  Un
[02:10:17 -> 02:10:27]  No vamos a esperar a que cuando valen 75% de la tesis, la empresa no nos riego los datos,
[02:10:27 -> 02:10:30]  que nos debían dar, no sé qué, no son buenas, etc.
[02:10:30 -> 02:10:38]  Eso por ejemplo es algo que si se define bien previamente durante el anteproyecto,
[02:10:38 -> 02:10:42]  o sea, durante la elaboración del anteproyecto, es algo que si lo podemos pelotear,
[02:10:42 -> 02:10:48]  vamos a decir, consigan datos, vean si hay data sets, si mirares, etc.
[02:10:48 -> 02:10:54]  Porque de un punto de vista, ustedes hacen lo mismo si lo decimos.
[02:10:54 -> 02:11:02]  Para nosotros, un peso de estudiantes es lo mismo si la data viene de un te, o de otro,
[02:11:02 -> 02:11:09]  u otra, de fondo de ojos reales.
[02:11:09 -> 02:11:20]  realmente es mucho más interesante trabajar con imágenes reales sacadas por un aparato concreto que tienen en una determinada clínica y no con los datos de un cable
[02:11:20 -> 02:11:28]  pero bueno, frente a la probabilidad no nula y bastante alta, porque los datos por aquí razón no estén
[02:11:28 -> 02:11:34]  está bueno tener siempre el data set sin backup, son de igualdad
[02:11:34 -> 02:11:44]  Nosotros levantamos varios proyectos previos a...
[02:11:44 -> 02:11:50]  Donde nos decían, si tenemos datos y después...
[02:11:50 -> 02:11:58]  O no nos podían prometer con su guía. Nosotros decimos, denos los datos y nos comprometemos a hacer lo que sea que haya que estar, pero primero...
[02:11:58 -> 02:12:10]  Claro, yo me tenía que dar de mal, y bueno, uno nunca lo terminó de conseguir y otro te consiguió y era super chiquito.
[02:12:10 -> 02:12:12]  No se podía hacer nada.
[02:12:15 -> 02:12:19]  ¿Es cual es el problema con el tema de confidencial?
[02:12:19 -> 02:12:22]  Con confidencial no hay problema.
[02:12:22 -> 02:12:30]  que siempre no hay problema es lo mejor, por más que oficialmente no se haga así,
[02:12:30 -> 02:12:36]  pero lo mejor es saber eso desde el comienzo.
[02:12:36 -> 02:12:43]  Porque desde el bonte de la la unidad no hay ningún mecanismo particular para, por ejemplo,
[02:12:43 -> 02:12:52]  igual un año o un día y donde sea de un tutor o otra pero si eso se saca que a veces puede ser necesario
[02:12:52 -> 02:13:02]  el rendido pero en ese caso si se sabe de antemano bueno se sabe si busca un tutor o una tutora que
[02:13:02 -> 02:13:08]  acepte participar de esas condiciones que eventualmente tengan firmado en el EDA porque
[02:13:08 -> 02:13:13]  el tutor o tutora va a tener acceso a determinada información.
[02:13:13 -> 02:13:19]  Por eso se hace un problema, pero es algo que en realidad se termina haciendo entre
[02:13:19 -> 02:13:27]  tutor o tutora con la empresa. Lo que sí pasa al lado de la
[02:13:27 -> 02:13:32]  es que lo que se protege es el informe.
[02:13:32 -> 02:13:38]  O sea, el mecanismo es el informe de la tesis,
[02:13:38 -> 02:13:43]  que es esencialmente el documento,
[02:13:43 -> 02:13:46]  el único entregable formal es el documento,
[02:13:46 -> 02:13:51]  no se publica hasta dos años después.
[02:13:51 -> 02:13:55]  Esa es la protección de confidencialidad que se da.
[02:13:55 -> 02:13:58]  El código de la TEC y eso no se tiene que integrar?
[02:13:58 -> 02:14:02]  El código no, ni el código ni los datos.
[02:14:05 -> 02:14:09]  Lo que... de esos dos cosas.
[02:14:09 -> 02:14:19]  Lo que puede pasar es que eventualmente los correctores al final, o sea, el dado,
[02:14:19 -> 02:14:31]  o pida algún tipo de verlo o lo que sea. O estar tranquilo y no hay problema.
[02:14:31 -> 02:14:39]  Porque en general que el informe haya resultados, eso puede tener un determinado valor,
[02:14:39 -> 02:14:45]  pero no es el problema. Si no fue bien con el modelo, hubo mucho mejor que el otro,
[02:14:45 -> 02:14:51]  no vimos un dato, no vimos código, no vimos nada. En general eso no ha ocasionado nunca problemas.
[02:14:55 -> 02:15:02]  Pero bueno, en ese caso también si hay cuestiones de confidencial, el código no lo publicamos,
[02:15:02 -> 02:15:11]  Pero tampoco hemos tenido problemas, tampoco me he despedido. Si no veo el código, no lo corrigo.
[02:15:11 -> 02:15:20]  Y ni siquiera es necesario ponerlo en el informe.
[02:15:20 -> 02:15:27]  Habitualmente, si no hay problema de confidencialidad, el código se le pone un link a GitHub.
[02:15:27 -> 02:15:31]  Cuando entregan el obligatorio, link aginca.
[02:15:31 -> 02:15:38]  De todas maneras, ese link generalmente dura una cantidad de tiempo después,
[02:15:38 -> 02:15:42]  meses después ya lo sistemadas o lo que sea, no importa eso.
[02:15:42 -> 02:15:48]  Pero por menos el correctorio lo vieron ver en ese momento.
[02:15:48 -> 02:15:53]  Pero digo, formalmente lo que se hace es...
[02:15:53 -> 02:15:58]  Por eso a nosotros nos gusta saber lo de antemano, pero no se hace nada hasta el momento de la entrega.
[02:15:58 -> 02:16:08]  Cuando se va a informar la entrega se pide una autorización al decano para que se autorice la no publicación en biblioteca del informe hasta dos años después.
[02:16:08 -> 02:16:14]  Siempre se autoriza, entonces hay que hacer ese paso formal.
[02:16:14 -> 02:16:17]  O sea, el informe se entrega, se manda al biblioteca, pero no se publica.
[02:16:17 -> 02:16:23]  Y ahí es, bueno, la universidad que asume la responsabilidad de que no se va a publicar.
[02:16:26 -> 02:16:28]  Eso cuando peque la confianza.
[02:16:28 -> 02:16:32]  Y ya, no, no, no, se va a pedir ver los datos, ni nada.
[02:16:32 -> 02:16:43]  Ahí, como consejo también, lo que yo les suelo pedir es que tengan igual algún data set o algo,
[02:16:43 -> 02:16:56]  Mooc o algo como para, aunque sea en datos totalmente artificiales, poder mostrar algo
[02:16:56 -> 02:17:03]  y que son los compromisos de los que están ahí, no pueden tener alguno de algo bien parecido
[02:17:03 -> 02:17:06]  pero no son los datos reales
[02:17:06 -> 02:17:13]  ¿Puedo decir otra cosa más?
[02:17:13 -> 02:17:32]  Bueno, y el problema es si no tiene tema, si no tiene tema traten de acercarse antes y decirlo, lo voy a hacer, lo vamos a hacer, no sé, hipo, estrés, lo vamos a hacer y no tengo tema.
[02:17:32 -> 02:17:35]  cuando lo desmovie, no lo sé, está...
[02:17:35 -> 02:17:39]  Bueno, a veces tenemos...
[02:17:39 -> 02:17:45]  Si no tenemos una puerta, o sea, una ventanilla abierta específica de focrado,
[02:17:45 -> 02:17:51]  sí hay una de proyectos de toda la facultad, o sea, el formulario de carrera de ingeniería de sistemas,
[02:17:51 -> 02:17:55]  entonces podemos ver ahí, a veces,
[02:17:55 -> 02:18:02]  los proyectos exceden un poco lo que sería un trabajo final de grado
[02:18:02 -> 02:18:07]  y puede servir para apoderar también
[02:18:07 -> 02:18:13]  Entonces, a veces hay, digo no, no hay masas, los proyectos, sí, esperando
[02:18:13 -> 02:18:16]  pero bueno, se puede buscar algo
[02:18:17 -> 02:18:19]  ¿Cómo es el tratamiento del tutor?
[02:18:19 -> 02:18:21]  Hay buen intento, ¿no?
[02:18:21 -> 02:18:25]  No, bueno, no, bueno, pero no, no, no, no, no, no.
[02:18:25 -> 02:18:37]  Si lo normal es, dios mío, antes mandan en el proyecto la comisión de trabajo final,
[02:18:37 -> 02:18:50]  que es Matías, Hugo Mora, que es el de Big Data, y yo, vamos y asignamos tutorial.
[02:18:51 -> 02:18:59]  tratamos en la medida de lo posible que esté lo más relacionado posible con el tema
[02:18:59 -> 02:19:02]  no siempre es posible
[02:19:02 -> 02:19:08]  si usted se dice sobre imágenes médicas
[02:19:08 -> 02:19:13]  no hay imágenes positivas pero hay que específicamente sepa del tema
[02:19:13 -> 02:19:16]  porque en Rusia y América ya piensan ser
[02:19:16 -> 02:19:17]  ¿Vale?
[02:19:18 -> 02:19:20]  Ese no es el...
[02:19:20 -> 02:19:22]  O sea, ese es el porcento.
[02:19:22 -> 02:19:24]  Obviamente...
[02:19:24 -> 02:19:27]  No, no, el porcento es un equivocado.
[02:19:27 -> 02:19:35]  Pero, si ustedes ya pueden haber hablado, ya con algún docente de acá,
[02:19:36 -> 02:19:41]  y el desacepto sea el sustituto.
[02:19:41 -> 02:19:42]  Bueno, ahí es el porcento.
[02:19:42 -> 02:19:50]  Soñar el docente, y ustedes lo promover, está ok, y lo aceptamos.
[02:19:50 -> 02:19:57]  Así que como el rol de tutor es normal, que es un docente pago,
[02:19:57 -> 02:20:05]  él ya tiene que ser parte de nuestro cartilla de tutores.
[02:20:05 -> 02:20:10]  Pero pasa también que a veces, ya pasaba en las tesis de UTE, por ejemplo,
[02:20:10 -> 02:20:16]  y me dice, ahí Oscar, el tutor, y tengo un problema y aceptó y...
[02:20:18 -> 02:20:22]  Eso también puede ser. Pero si tenia, no sé, como...
[02:20:22 -> 02:20:32]  No sé, como aquí, o aquí, no sé, y ni siquiera tienen alguien que pidieron algo, porque les gustó el tema,
[02:20:32 -> 02:20:39]  o Andrés, o lo que sea, y como me hicieron, que los tutores, y van a ver,
[02:20:39 -> 02:20:52]  de problemas. Ahí no tienen que decir. Ya hablamos con Al y nos gustó el tema. Ahora,
[02:20:52 -> 02:20:57]  después si viene, por ejemplo, a Andrés, le estuvieron a la guordina ahora, porque
[02:20:57 -> 02:21:00]  dijo que es el serie temporal, si les gustó mucho el serie temporal, si quieren hacer
[02:21:00 -> 02:21:08]  una serie temporal es... Quieren que la... Entonces Andrés ahí dijo, pues no puede
[02:21:08 -> 02:21:14]  el sistema de interés, la gente, que se yo, ahí en ese caso, lo mejor es decir,
[02:21:14 -> 02:21:16]  que no vamos a dar el proceso.
[02:21:18 -> 02:21:21]  Si tenés medicina misma, pues no te va a necesitar.
[02:21:23 -> 02:21:27]  Estamos todos en un compromiso, por lo menos lo voy a dar.
[02:21:28 -> 02:21:36]  Pero bueno, la idea es que todo el mundo se lo conforme, aunque lo mismo,
[02:21:36 -> 02:21:44]  que puede pasar, que se van a llevar bien con alguien durante la...
[02:21:44 -> 02:21:48]  bueno, por ejemplo, otra persona no quiere trabajar
[02:21:50 -> 02:21:54]  lo tendremos, lo vamos a tener en cuenta, pero no vamos a poner en un tutor
[02:21:54 -> 02:21:58]  con el cual se van a llevar mal
[02:22:00 -> 02:22:04]  y no sé si hay ninguna... bueno, y después eso, o sea, eso es un mes
[02:22:04 -> 02:22:13]  La idea es pasar eso, si ya tienen el tema antes, por más que formalmente tengan que entregarlo como obligatorio en la fecha que hay,
[02:22:13 -> 02:22:19]  porque cuando eso se entrega así, por más que ya la tengan, ya no se han terminado,
[02:22:19 -> 02:22:23]  y que se entrega el obligatorio mañana, no lo van a poder porque no está bien.
[02:22:23 -> 02:22:25]  Y por lo tanto, lo van a tener que entregar en ese momento.
[02:22:25 -> 02:22:33]  Pero si ustedes no lo envían, estamos de acuerdo, ya podemos avanzar incluso con el nombramiento de tutor, la tutora, y ya sí.
[02:22:33 -> 02:22:39]  y ya arrancan. Por más que el FALC lo había inserido a lo que sea, a lo semanal,
[02:22:39 -> 02:22:46]  a entregar formalmente el anteproyecto. Eso es el mejor de los mundos.
[02:22:47 -> 02:22:55]  Y después hay un informe de avance que para empezar el agosto es a mediados de
[02:22:55 -> 02:23:01]  diciembre por ahí. Lo tratamos de hacer un poquito antes para evitar que sea
[02:23:01 -> 02:23:05]  El 23 de diciembre tienen un informe y después no pueden hacer nada.
[02:23:05 -> 02:23:09]  La avalía cierra y ustedes no pueden tener un feedback hasta febrero, ¿no?
[02:23:09 -> 02:23:17]  Entonces, el informe de avance, el objetivo es tener un checkpoint formal.
[02:23:19 -> 02:23:27]  La idea es que si llegan al informe de avance, lleguen bien.
[02:23:27 -> 02:23:41]  Normalmente podemos poner un 0, o sea podemos poner no pasa el informe, pero es que 0,1, es una nota vinagre, pasa no pasa,
[02:23:41 -> 02:23:55]  como ahora no pasa, nunca pasó, no tiene ningún impacto, pero si realmente se llega a una situación en la que la cosa está
[02:23:55 -> 02:23:59]  ¿Cómo se dice?
[02:24:00 -> 02:24:03]  Imposible de sobrellevar.
[02:24:03 -> 02:24:06]  Estamos todos de acuerdo.
[02:24:06 -> 02:24:09]  Fue todo por nosotros que...
[02:24:09 -> 02:24:13]  O sea, hay algo que pasó.
[02:24:15 -> 02:24:17]  Entonces, mejor que se hagan de vos.
[02:24:17 -> 02:24:19]  Que también ha pasado. No pasa nada.
[02:24:19 -> 02:24:31]  Si se han debajado una materia mientras no hayan tenido ninguna evaluación con nota,
[02:24:31 -> 02:24:33]  no le valen por la vida.
[02:24:33 -> 02:24:39]  Y en el caso de trabajo penal la única evaluación con nota es la defensa de la tesis.
[02:24:39 -> 02:24:44]  Su informe de avance le pueden pasar y después decidir que no siguen y no pasen.
[02:24:44 -> 02:24:57]  Pero bueno, eso es un mecanismo de control. La idea es que si ya ha pasado y no pasa nada, todas las situaciones han pasado.
[02:24:57 -> 02:25:05]  Pasar el informe de avance, pasarse después, tener ya sabiendo que el informe de avance se iba a llegar más o menos,
[02:25:05 -> 02:25:11]  hay reuniones premias que son de ideal con mí o con Matías o lo que sea
[02:25:11 -> 02:25:16]  y con el tutor para decir qué es lo que está pasando o no es la solución, qué pasa
[02:25:16 -> 02:25:22]  El típico problema de ese es que tenía que correr los datos y no lo estamos yendo
[02:25:22 -> 02:25:32]  En noviembre se le hicieron todos los pages, se escribieron el código, jugaron con los datos
[02:25:32 -> 02:25:37]  Se dedica a que elito y los datos no llegan, pero no llegan, pero no llegan, bueno, qué hacemos.
[02:25:37 -> 02:25:54]  La presencia de la
[02:25:54 -> 02:25:59]  En general debemos encontrar...
[02:25:59 -> 02:26:04]  ...hubo situaciones complicadas...
[02:26:04 -> 02:26:12]  Estamos en lo que hacen minimax, el mejor de los peor casos.
[02:26:12 -> 02:26:16]  Para tener el cual es el peor.
[02:26:16 -> 02:26:23]  Y después, bueno, el problema de la tesis de agosto, ya lo sé, son las vacaciones.
[02:26:23 -> 02:26:25]  Por eso hay que dar un poquito más.
[02:26:25 -> 02:26:34]  Porque en general el programa que día 2 vamos a trabajar, que se yo, en enero está perdido.
[02:26:34 -> 02:26:37]  O sea, está ganado por otra cosa.
[02:26:37 -> 02:26:39]  La tesis está perdido.
[02:26:39 -> 02:26:44]  En general, entonces se cuesta, y después cuesta el reno de ordenado de marzo.
[02:26:44 -> 02:26:51]  Entonces la entrega es el reno de ordenado de marzo.
[02:26:51 -> 02:27:02]  Para que tenga febrero, que tenga fórtua también, que tenga carnaval, y así que la defensa termina siendo maya.
[02:27:06 -> 02:27:08]  Bueno, como de ustedes, ¿no?
[02:27:08 -> 02:27:14]  ¿Está en la lista? ¿Puedo decirle el verano? ¿Qué es como el resultado del verano?
[02:27:14 -> 02:27:19]  ¿Cuánto sufrieron de inmediato?
[02:27:19 -> 02:27:23]  ¿Cómo que te da la acción?
[02:27:23 -> 02:27:25]  ¿Soy el que no me da la acción?
[02:27:25 -> 02:27:26]  ¿Eh?
[02:27:26 -> 02:27:28]  Por eso pensaba que estabamos diciendo.
[02:27:28 -> 02:27:33]  Se va de ocasiones y entonces ahí sí hay un...
[02:27:33 -> 02:27:35]  Suele haber una aceleración después.
[02:27:35 -> 02:27:37]  En general que...
[02:27:37 -> 02:27:41]  O sea, después de que ya lo puede agarrar todo, suele haber ahí...
[02:27:41 -> 02:27:47]  Pero por eso, todo eso hay que verlo ahí en el informe de abajo.
[02:27:49 -> 02:27:54]  No sé si, bueno, hay mucho blablabla o...
[02:27:54 -> 02:27:56]  No sé si yo, no sé si no.
[02:27:56 -> 02:27:58]  O sea, nos escriben...
[02:27:58 -> 02:28:01]  O sea, si se ha empezado a tener una idea, lo mejor es que hagan...
[02:28:01 -> 02:28:05]  Ya tienen un grupo, que hacen un grupo y un team con...
[02:28:05 -> 02:28:08]  suman amatías, al rastro, a mí...
[02:28:08 -> 02:28:15]  Y nos tiran algunas ideas y lo vemos o no tenemos idea o...
[02:28:15 -> 02:28:18]  Y ahí vamos viendo.
[02:28:22 -> 02:28:27]  Por tiempo, así, en la gusto podemos crear algo.
[02:28:34 -> 02:28:36]  ¿Cómo?
[02:28:37 -> 02:28:39]  Ah, ok.
[02:28:39 -> 02:28:51]  Mientras hago esto, una cosa más es que no olvide que habrá muchas imágenes y todo,
[02:28:51 -> 02:28:57]  pero no hablamos del LLM, pero también de esos que se aplican para las imágenes.
[02:28:57 -> 02:29:05]  Y el otro tema es si van a ver que eso no se va a pasar mucho tiempo y el recurso de cómputo,
[02:29:05 -> 02:29:08]  imaginar sobre qué lo van a hacer.
[02:29:08 -> 02:29:15]  En una época las Jupyter Notebooks de acá andaban bien,
[02:29:15 -> 02:29:20]  pero no tenían la necesidad suficiente para las mismas cosas.
[02:29:20 -> 02:29:23]  Para un proyecto razonable, la imagen es anda,
[02:29:23 -> 02:29:27]  pero bueno, eso ya tiene que marcar en el cincuenta y veinte y todo eso.
[02:29:27 -> 02:29:31]  Eso que lo tengan en cuenta para verlo.
[02:29:31 -> 02:29:38]  se va a evaluar y que entre por esas funciones.
[02:29:38 -> 02:29:44]  Porque si no, no pasa nada, yo me pago mi licencia, no sé qué, el chat,
[02:29:44 -> 02:29:49]  de su gusto y no hay problema.
[02:29:49 -> 02:29:53]  O no, no sé más que se da.
[02:30:53 -> 02:30:55]  No, solo cuando tu mismo entorca.
[02:30:56 -> 02:31:00]  Y acá puede comenzar su objeción, no necesitan.
[02:31:05 -> 02:31:06]  ¿Ya está, no?
[02:31:06 -> 02:31:08]  Mueviste ahí para...
[02:31:10 -> 02:31:11]  Ahí ya está.
[02:31:13 -> 02:31:15]  Somos la ausencia de quejas.
[02:31:16 -> 02:31:19]  Bueno, la ausencia de quejas vale...
[02:31:23 -> 02:31:27]  ¿Bien? Ah, no, yo no estoy con... Bueno, está.
[02:31:27 -> 02:31:28]  No estás en el...
[02:31:28 -> 02:31:29]  Yo estoy solo, como...
[02:31:29 -> 02:31:30]  Sí. Bueno.
[02:31:30 -> 02:31:33]  Listo. Así que...
[02:31:33 -> 02:31:35]  Eh... está.
[02:31:35 -> 02:31:38]  Cualquier pregunta del...
[02:31:38 -> 02:31:41]  Si tienen todavía de plástico, no les...
[02:31:43 -> 02:31:47]  Por lo más todo, digamos, se llega a la argumentación.
[02:31:47 -> 02:31:48]  Digamos, de...
[02:31:48 -> 02:31:50]  A crear una book.
[02:31:50 -> 02:31:51]  Va.
[02:31:51 -> 02:31:53]  ¿Todo el que es obligatorio?
[02:31:53 -> 02:31:56]  Lo mejor es que hagan un informe.
[02:31:56 -> 02:32:03]  Además, una sola notebook y todo.
[02:32:03 -> 02:32:07]  Claro, lo mejor es que hagan un informe y entreguen a notebook, pero...
[02:32:07 -> 02:32:14]  El mejor es que hagan un informe y guía diciendo dónde en el conjunto lo resuman los experimentos que se ven.
[02:32:14 -> 02:32:18]  ¿Y saquen alguna...
[02:32:18 -> 02:32:28]  Lo que normalmente, lo más fácil para nosotros, pero bueno, lo que sigo mantén decir, pero no,
[02:32:28 -> 02:32:39]  es que entren el informe PDF uniendo todo con el link a un lista o algo que si quieren,
[02:32:39 -> 02:32:43]  si no lo quieren poner público, bueno, nos lo comparten a nuestras direcciones.
[02:32:43 -> 02:32:56]  Eso es lo mejor. Si tienen alguna notebook corrida, lo mejor es que tienen un HTML o un PDF para que existan.
[02:32:56 -> 02:33:04]  Este es el snapshot de la notebook que yo corrí, porque cuando la levantábamos... eso es lo mejor.
[02:33:04 -> 02:33:06]  y eso lo ponen en el gif
[02:33:06 -> 02:33:08]  claro
[02:33:08 -> 02:33:10]  y luego que te den el informe
[02:33:10 -> 02:33:12]  le pego algún gráfico o algo al lado
[02:33:12 -> 02:33:14]  claro, claro, si, si, si
[02:33:14 -> 02:33:16]  puede ser
[02:33:16 -> 02:33:18]  si, osea, ustedes arman el informe con
[02:33:18 -> 02:33:20]  si, van sacando gráficos y lo que quieran
[02:33:20 -> 02:33:22]  lo que pueden hacer es agarrar
[02:33:22 -> 02:33:24]  y agarrar la notebook toda ejecutada con todos los software
[02:33:24 -> 02:33:26]  y eso lo pueden exportar con un archivo
[02:33:26 -> 02:33:28]  PDF que lo directamente
[02:33:28 -> 02:33:30]  o con HTML
[02:33:30 -> 02:33:32]  y lo separan
[02:33:32 -> 02:33:39]  informe y esa no es tu. Pero hacíamos cosas para ver el output que vieron ustedes, si
[02:33:39 -> 02:33:45]  la verdad es que es que gustar todo el output puede demorar y que puede darme resultados distintos.
[02:33:45 -> 02:33:51]  Y por qué el informe, para que se vea que estamos grabando, si lo que hay grabado, sí,
[02:33:51 -> 02:34:00]  porque el informe es porque también me gusta que se vea las conclusiones que ustedes sacan.
[02:34:00 -> 02:34:09]  Por ejemplo, comparamos, en el que consultamos, fictitious play contra fictitious play,
[02:34:09 -> 02:34:12]  tal condenso, y eso fue lo que observamos.
[02:34:12 -> 02:34:20]  Pero por ejemplo, cuando comparamos fictitious play contra random, esto fue lo que observamos.
[02:34:20 -> 02:34:28]  Y está bien, porque en el otro, es razonable que haya ocurrido tal cosa.
[02:34:28 -> 02:34:32]  Bueno, cuando lo hacemos, el quince y el nueve, cuando el quince y el nueve,
[02:34:32 -> 02:34:34]  uno espera que salgan dos equilibrio en una.
[02:34:34 -> 02:34:36]  Si salen dos equilibrio en una.
[02:34:36 -> 02:34:38]  Hay un ejemplo,
[02:34:38 -> 02:34:40]  o sea, tengo que
[02:34:40 -> 02:34:43]  descubrir la pólvora.
[02:34:43 -> 02:34:45]  Por ejemplo, el de la...
[02:34:45 -> 02:34:47]  el de...
[02:34:47 -> 02:34:50]  que creo que hay más que hacer el hecho, el de la batalla de los exos,
[02:34:50 -> 02:34:52]  que tiene
[02:34:52 -> 02:34:54]  dos equilibrios
[02:34:54 -> 02:34:56]  puros,
[02:34:56 -> 02:35:05]  Y después tiene un regalo de una especie de re-infin, la cantidad de equilibrios
[02:35:05 -> 02:35:10]  se llama correlacionados y tiene otro equilibrio acá, muy buena,
[02:35:10 -> 02:35:14]  No sé, a ver si por ejemplo, una pregunta interesante, si alguna vez
[02:35:14 -> 02:35:21]  el QtUplay o Regret Machine les dio algún equilibrio que no sea los extremos
[02:35:21 -> 02:35:23]  y no hay ninguno de sus puestos.
[02:35:25 -> 02:35:29]  Es como observación, no le estoy diciendo que le tiene que dar y si no le da está mal,
[02:35:29 -> 02:35:35]  se dice que en realidad hay una parte aleatoria, el QtSuitPlay y el WebMatching,
[02:35:35 -> 02:35:40]  entonces, que no también les da, o no, de ese tipo de observación.
[02:35:40 -> 02:35:44]  O sea, recorrimos mil veces, o sea, 100 veces, que si yo no lo digo nunca,
[02:35:44 -> 02:35:46]  Se salió dos veces de...
[02:35:46 -> 02:35:48]  ¿Nueve de cómo ocurrió?
[02:35:48 -> 02:35:50]  ¿Lo ocurrieron o lo experimentaron?
[02:35:52 -> 02:35:54]  Ese tipo de observación.
[02:35:56 -> 02:36:00]  Y después, tipo de visualizaciones, por ejemplo.
[02:36:00 -> 02:36:04]  Bueno, hay algunos y cosas.
[02:36:04 -> 02:36:10]  Hay una cantidad de ejemplos que son básicamente para...
[02:36:10 -> 02:36:16]  Los equilibrios son conocidos, los problemas son chiquitos, a ver si los encuentra,
[02:36:16 -> 02:36:25]  cuántas integraciones para encontrar, habíamos visto que el sistema también de Kurnó
[02:36:25 -> 02:36:33]  que en realidad puede escalar, lo mismo pasa con floto, puede hacerlo escalar.
[02:36:33 -> 02:36:42]  Entonces bueno, ver, sobre todo ahí es interesante, es interesante ver si encuentran los equilibrios,
[02:36:42 -> 02:36:47]  pero también comparar donde todos los tipos de función de los algoritmos.
[02:36:47 -> 02:36:50]  Ver que bien mal que un monografo y su efecto.
[02:36:50 -> 02:36:54]  Vamos a ver si hay algo notable.
[02:36:54 -> 02:36:58]  Bueno, en el momento vamos a combatear a cosas distintas.
[02:36:58 -> 02:37:01]  Por eso estamos aquí.
[02:37:01 -> 02:37:07]  Y después el foraging, ¿Cuántas más lo hiciste?
[02:37:07 -> 02:37:11]  El foraging, ¿Cuáles eran las cosas interesantes?
[02:37:11 -> 02:37:17]  Bueno, sí, para las curvas de comparación de IQL contra al AI.
[02:37:17 -> 02:37:24]  Y después pruebas con dos agentes, tres agentes, dos comidas.
[02:37:24 -> 02:37:26]  Ah, eso sí.
[02:37:26 -> 02:37:35]  Porque hay algunas configuraciones default que están ahí, que son básicas, pero que pueden darle cualquier configuración.
[02:37:35 -> 02:37:40]  Si tiene alguna duda de cómo generar configuraciones extra con Foraging,
[02:37:40 -> 02:37:44]  que no hay que hacer nada ahí, porque no hay los parámetros, eso es el CMake.
[02:37:44 -> 02:37:51]  Creo que tiene límites, pero el máximo puede jugar cinco jugadores y joder.
[02:37:51 -> 02:37:54]  No, tiene agentes, no.
[02:37:54 -> 02:38:03]  Claro, claro, por ejemplo, la computación más complicada creo que son tres agentes y ahí es un cooperativo
[02:38:03 -> 02:38:09]  porque no hay por menos dos que tienen que juntar para levantar una manzana, pero después pueden jugar con ellos
[02:38:09 -> 02:38:15]  y pueden hacer alguna manzana más, que prefiera la cooperación de tres, por ejemplo
[02:38:15 -> 02:38:17]  Para hacer pan de ese último...
[02:38:17 -> 02:38:22]  Creo que ahí si le ponen Free Food y le ponen no sé...
[02:38:23 -> 02:38:25]  Cuánto parámetros, cómo...
[02:38:25 -> 02:38:28]  No sé, es muy raro, pero ahí está la documentación y si no...
[02:38:28 -> 02:38:30]  Nada, pero para que no se vea, no me importa.
[02:38:30 -> 02:38:33]  Y después también puede cambiar el tamaño del tablero,
[02:38:33 -> 02:38:37]  en vez de usar 5x5 pueden aumentarlo,
[02:38:37 -> 02:38:41]  creo que pueden ponerlo en el número, 8x8.
[02:38:41 -> 02:38:45]  Ahí no se va a echar mucho, porque va a demorar mucho.
[02:38:45 -> 02:38:49]  Hay bastura de gas, lo que dicen les, además, es probar otras...
[02:38:49 -> 02:38:52]  Lo que usted quiera.
[02:38:52 -> 02:38:54]  Ahí si le da...
[02:38:54 -> 02:38:58]  Sí, porque ahí empiezan a tener temas de tiempo, y muchas cosas, así que...
[02:38:58 -> 02:39:02]  Pero, qué decir, pueden explorar por ahí, tienen muchos...
[02:39:02 -> 02:39:07]  El no provisto es lo que nosotros buscamos, que ustedes sugieren...
[02:39:07 -> 02:39:10]  No, no, pero eso no te lo subí.
[02:39:10 -> 02:39:15]  ¿Pero esos son los que la letra dice otrovista?
[02:39:15 -> 02:39:17]  Claro, claro, claro.
[02:39:17 -> 02:39:19]  ¿Son otrovistas?
[02:39:19 -> 02:39:21]  Si, si, si.
[02:39:21 -> 02:39:23]  Si ustedes quieren, por ejemplo,
[02:39:23 -> 02:39:25]  ustedes son bienvenidas,
[02:39:25 -> 02:39:29]  si ustedes hay un libro
[02:39:29 -> 02:39:31]  que les puede interesar,
[02:39:31 -> 02:39:33]  el juego de spacing, ¿no?
[02:39:33 -> 02:39:36]  Si tienen alguno y...
[02:39:36 -> 02:39:39]  digo, no se vayan de algo más complejo que el otrovista.
[02:39:39 -> 02:39:41]  Bueno, así es.
[02:39:43 -> 02:39:51]  Lo que queríamos hacer, por eso como arraín, era agregarle un poco de no determinismo al foraje.
[02:39:51 -> 02:39:55]  Eso es lo que se tiene, eso es fácil de encorgar.
[02:39:55 -> 02:39:57]  Es cuando el foraje...
[02:39:58 -> 02:40:05]  Cuando se elige la acción A, amasando la acción A, con un corrupción, como una política epsilon gris,
[02:40:05 -> 02:40:10]  Eso lo pueden hacer sin tocar con la gente.
[02:40:10 -> 02:40:13]  Eso es una opción de propulsividad.
[02:40:13 -> 02:40:17]  Pero eso era realmente extra.
[02:40:17 -> 02:40:21]  Yo lo conocí en una opción de...
[02:40:21 -> 02:40:29]  No, porque en realidad lo pueden hacer de manera muy sencilla cuando los agentes sincronizan las opciones.
[02:40:29 -> 02:40:32]  Cuando se llama el vector de sincronización de las opciones,
[02:40:32 -> 02:40:39]  y yo cada gente ahí ese sincronizador va a agarrar la opción a 1, la opción a 2, la opción a 3,
